No. Beds,No. Baths,Area,Type_n,Region_n,Sub-region_n,Price
4.0,4.0,1604.0,0,58,253,15238000
3.0,3.0,1500.0,0,11,50,12000000
4.0,4.0,1600.0,0,52,449,5200000
3.0,3.0,1541.0,0,10,155,6626300
3.0,4.0,1741.0,0,63,112,20000000
3.0,3.0,1485.0,0,40,85,8167000
2.0,2.0,900.0,0,55,271,5650000
2.0,2.0,820.0,0,43,231,4900000
3.0,3.0,1200.0,0,3,432,6050000
3.0,2.0,1100.0,0,26,160,9500000
3.0,3.0,1100.0,0,40,85,5170000
3.0,3.0,2170.0,0,66,350,17500000
3.0,3.0,1550.0,0,11,54,11000000
3.0,3.0,1350.0,0,43,335,8400000
3.0,2.0,800.0,0,22,121,4200000
3.0,2.0,1130.0,0,43,259,6200000
3.0,3.0,1130.0,0,1,50,7000000
3.0,2.0,1140.0,0,40,341,5800000
2.0,2.0,820.0,0,43,231,4500000
3.0,3.0,2160.0,3,64,90,6000000
3.0,3.0,1060.0,0,40,163,4200000
3.0,3.0,1257.0,0,55,271,6913500
3.0,3.0,1424.0,0,10,222,10056000
3.0,3.0,2912.0,3,61,117,52000000
2.0,2.0,900.0,0,3,432,5400000
3.0,3.0,1500.0,0,15,440,9450000
3.0,3.0,1336.0,0,3,432,7500000
3.0,3.0,2880.0,3,43,65,27200000
3.0,3.0,1050.0,0,15,440,6300000
3.0,3.0,1194.0,0,20,394,5970000
4.0,4.0,3000.0,0,18,130,45000000
3.0,3.0,1670.0,0,66,350,9500000
3.0,2.0,1150.0,0,40,107,5600000
3.0,2.0,1125.0,0,13,113,4775000
3.0,2.0,1000.0,0,43,259,5800000
3.0,4.0,1230.0,0,3,219,7995000
4.0,4.0,2200.0,0,40,226,23000000
3.0,3.0,1456.0,3,53,28,4800000
3.0,3.0,1550.0,0,6,55,11500000
2.0,2.0,755.0,0,53,35,2491500
3.0,4.0,1750.0,0,43,27,11375000
2.0,3.0,1050.0,0,0,260,6200000
3.0,3.0,1451.0,0,20,394,7255000
3.0,3.0,1365.0,0,40,85,7500000
2.0,2.0,1000.0,0,10,100,4600000
3.0,3.0,1500.0,0,10,407,9050000
3.0,3.0,1350.0,0,40,341,7900000
3.0,2.0,1100.0,0,3,434,5500000
4.0,4.0,1876.0,0,6,52,11480800
3.0,3.0,1300.0,0,40,277,6700000
3.0,3.0,1870.0,0,18,130,30000000
2.0,2.0,850.0,0,31,422,5000000
3.0,3.0,1566.0,0,47,48,13000000
3.0,3.0,1950.0,0,18,130,31200000
3.0,4.0,2675.0,0,4,311,39000000
4.0,3.0,1700.0,0,66,350,9200000
3.0,3.0,1400.0,0,0,31,8450000
3.0,2.0,900.0,0,40,341,4700000
3.0,4.0,1554.0,0,40,278,10000000
3.0,3.0,2184.0,3,51,367,11000000
3.0,3.0,1500.0,0,3,7,6000000
3.0,3.0,2160.0,3,0,399,17000000
3.0,2.0,950.0,0,40,450,4500000
3.0,2.0,850.0,0,40,343,3600000
3.0,3.0,1250.0,0,13,113,6200000
2.0,1.0,600.0,0,10,197,1410000
3.0,2.0,1130.0,0,3,221,5085000
3.0,3.0,1320.0,0,24,243,6336000
3.0,4.0,2449.0,0,66,371,23275700
3.0,2.0,1185.0,0,40,284,5500000
3.0,3.0,1350.0,0,17,256,11000000
3.0,2.0,1200.0,0,6,53,6200000
3.0,2.0,1270.0,0,13,19,5500000
3.0,3.0,1425.0,0,40,450,8537500
3.0,3.0,2184.0,3,53,294,5500000
4.0,4.0,2040.0,0,11,57,12000000
3.0,3.0,1620.0,0,66,368,16390000
3.0,3.0,1225.0,0,38,81,9300000
3.0,3.0,1253.0,0,3,432,7300000
3.0,3.0,1050.0,0,21,416,4000000
3.0,3.0,1105.0,0,10,100,6356500
3.0,3.0,1400.0,0,52,435,7000000
3.0,2.0,950.0,0,40,450,4500000
3.0,2.0,1050.0,0,13,19,5500000
2.0,2.0,850.0,0,43,67,4600000
3.0,3.0,1350.0,0,6,58,7700000
3.0,3.0,1125.0,0,0,31,6700000
3.0,3.0,1350.0,0,11,50,10000000
3.0,3.0,1250.0,0,15,151,8125000
3.0,4.0,1700.0,0,11,58,11500000
3.0,3.0,975.0,0,59,86,4500000
3.0,2.0,1150.0,0,59,313,10000000
3.0,3.0,1200.0,0,30,411,4800000
2.0,2.0,455.0,0,22,266,1500000
2.0,2.0,650.0,0,40,347,3500000
3.0,3.0,1530.0,0,15,440,9639000
3.0,3.0,1225.0,0,67,137,4000000
3.0,2.0,1280.0,0,3,434,5800000
3.0,4.0,1727.0,0,66,369,18806200
3.0,3.0,1265.0,0,9,298,10800000
3.0,3.0,2077.0,0,43,232,16560800
3.0,3.0,2184.0,3,51,373,16000000
2.0,2.0,600.0,0,40,343,2800000
3.0,3.0,1200.0,0,15,394,7900000
2.0,1.0,682.0,0,3,432,2700000
3.0,3.0,2374.0,0,11,48,20504200
3.0,3.0,1620.0,0,66,368,16390000
3.0,2.0,975.0,0,40,346,4500000
3.0,4.0,1750.0,0,66,350,13125000
3.0,3.0,1350.0,0,66,350,9345000
3.0,3.0,1300.0,0,40,278,7900000
3.0,2.0,944.0,0,40,340,6500000
3.0,3.0,1036.0,0,15,320,9000000
2.0,2.0,840.0,0,3,432,3000000
2.0,2.0,850.0,0,63,170,4285000
3.0,3.0,1390.0,0,40,85,7665000
3.0,3.0,1398.0,0,3,432,7900000
2.0,2.0,700.0,0,40,103,2800000
3.0,3.0,1550.0,0,11,56,10500000
3.0,2.0,1250.0,0,61,172,7500000
3.0,2.0,1075.0,0,40,343,4730000
3.0,2.0,1100.0,0,20,152,5500000
3.0,3.0,1300.0,0,10,100,6350000
2.0,2.0,820.0,0,10,262,4920003
3.0,3.0,1350.0,0,66,350,14000000
3.0,3.0,1350.0,0,40,11,7200000
3.0,3.0,1250.0,0,40,163,6250000
2.0,3.0,1000.0,0,66,351,9000000
3.0,3.0,1550.0,0,11,55,11500000
4.0,4.0,3700.0,0,18,131,74000000
3.0,3.0,1750.0,0,17,256,14000000
2.0,2.0,760.0,0,40,341,3800000
3.0,2.0,950.0,0,60,96,3300000
3.0,3.0,1510.0,0,47,329,16500000
2.0,2.0,1100.0,0,38,129,5600000
4.0,4.0,1755.0,0,37,275,10200000
2.0,2.0,778.0,0,7,34,5990600
2.0,1.0,425.0,0,45,207,2000000
2.0,2.0,950.0,0,40,450,4500000
2.0,1.0,500.0,0,7,34,1300000
2.0,2.0,900.0,0,43,259,4200000
3.0,3.0,1250.0,0,15,328,11000000
3.0,4.0,1650.0,0,1,54,9785000
3.0,3.0,1500.0,0,38,386,7500000
3.0,3.0,2750.0,0,18,131,35000000
2.0,2.0,650.0,0,40,342,2300000
3.0,3.0,1050.0,0,12,213,4200000
2.0,2.0,875.0,0,43,73,3700000
4.0,4.0,1650.0,0,3,272,8420000
3.0,3.0,1100.0,0,43,73,4400000
3.0,3.0,1610.0,0,37,66,10800000
3.0,3.0,1200.0,0,3,432,6050000
3.0,3.0,1485.0,0,40,85,8167000
3.0,3.0,1200.0,0,43,392,6000000
4.0,3.0,1700.0,0,66,350,9200000
3.0,3.0,1375.0,0,3,181,6787500
2.0,2.0,700.0,0,31,428,4500000
2.0,2.0,950.0,0,38,205,5000000
3.0,4.0,2172.0,0,43,115,23000000
3.0,4.0,1600.0,0,12,209,7000000
3.0,3.0,1170.0,0,40,84,4900000
2.0,2.0,875.0,2,43,73,3700000
3.0,3.0,1303.0,0,10,100,6113500
3.0,3.0,1275.0,0,13,19,8350000
3.0,3.0,2184.0,3,10,292,8000000
2.0,2.0,750.0,0,2,438,3000000
